date,category,amount,note,recorded_at
2026-04-19,餐饮 🍔,15.0,和小圆圆一起吃了好吃的,2026-04-19 22:38
2026-04-19,餐饮 🍔,10.0,和小圆圆一起喝了奶茶,2026-04-19 22:41
